seed,hidden,top,confidence,correct,p_h0,p_top_vessel,top_vessel_correct
86,False,H0,0.5707042020496439,False,0.5707042020496439,0.24459345025186696,True
87,True,H0,0.6095564039790481,True,0.6095564039790481,0.1711278990593026,False
88,False,H0,0.4547560821054279,False,0.4547560821054279,0.23460271043054245,True
89,False,419089002,0.5582134454359727,True,0.4417865545640272,0.5582134454359727,True
90,True,H0,0.543695955993458,True,0.543695955993458,0.19201021883114916,False
91,True,H0,0.701661615545285,True,0.701661615545285,0.2824399144494864,False
92,True,H0,0.6608992282471733,True,0.6608992282471733,0.1172618840246527,False
93,False,H0,0.5199171896703946,False,0.5199171896703946,0.17144911179954458,True
94,True,H0,0.484910022879666,True,0.484910022879666,0.17805689385925463,False
95,False,H0,0.6429146202153275,False,0.6429146202153275,0.2717828946412885,True
96,True,H0,1.0,True,1.0,0.0,False
97,False,H0,0.5657711629695734,False,0.5657711629695734,0.40526352162506696,True
98,False,H0,0.46326024948789934,False,0.46326024948789934,0.1786928246519484,False
99,False,H0,0.5956584284275132,False,0.5956584284275132,0.27022029648922685,True
100,False,H0,0.4620335253917112,False,0.4620335253917112,0.25830021593276414,True
101,False,H0,0.4931414474562995,False,0.4931414474562995,0.47499834181001277,True
102,True,H0,0.6190546764305137,True,0.6190546764305137,0.18664259661698243,False
103,False,H0,0.5188679587149309,False,0.5188679587149309,0.19695361125826766,True
104,False,H0,0.6312825429881611,False,0.6312825429881611,0.30810434612582027,True
105,True,H0,1.0,True,1.0,0.0,False
106,False,H0,0.548618892432553,False,0.548618892432553,0.16343416641547204,True
107,False,H0,0.5069271786612589,False,0.5069271786612589,0.19498560070911705,True
108,True,H0,0.6215146035847449,True,0.6215146035847449,0.16868707789696408,False
109,True,H0,0.5723291110340943,True,0.5723291110340943,0.19706324830629182,False
110,False,H0,0.5888045761768176,False,0.5888045761768176,0.34124646720569873,True
111,False,H0,0.6210171928033255,False,0.6210171928033255,0.327265963012392,True
112,False,H0,0.42705759921726233,False,0.42705759921726233,0.30102740163810215,True
113,False,H0,0.5006371430687783,False,0.5006371430687783,0.2291164048146438,True
114,False,H0,0.5131030183836267,False,0.5131030183836267,0.19886818210014925,True
115,False,H0,0.5836647690010984,False,0.5836647690010984,0.245001557432404,True
116,False,H0,0.5562997876011585,False,0.5562997876011585,0.14659804904367701,True
117,False,419117003,0.5693964262310882,True,0.4306035737689118,0.5693964262310882,True
118,True,H0,0.5081303179997244,True,0.5081303179997244,0.4918696820002756,False
119,True,H0,0.4655631384080883,True,0.4655631384080883,0.29688372602442853,False
120,True,H0,0.5947432143962411,True,0.5947432143962411,0.16083785684525886,False
121,False,H0,0.527510554088507,False,0.527510554088507,0.17070914856972308,True
122,True,H0,0.5382083196438489,True,0.5382083196438489,0.4617916803561511,False
123,False,H0,0.6931099766464599,False,0.6931099766464599,0.2323641340128309,True
124,True,H0,0.5845187327840812,True,0.5845187327840812,0.4154812672159188,False
125,False,H0,0.48823648099613887,False,0.48823648099613887,0.1601878684300521,True
126,True,H0,0.5865308007339923,True,0.5865308007339923,0.20964149344859836,False
127,False,H0,0.5112106401533215,False,0.5112106401533215,0.2668878901051204,True
128,True,H0,0.620995650170673,True,0.620995650170673,0.19217879349234385,False
129,False,H0,0.560508860308801,False,0.560508860308801,0.18236663528806116,False
130,False,H0,0.45045404912600817,False,0.45045404912600817,0.21956028186785953,True
131,True,H0,0.6510642793073907,True,0.6510642793073907,0.22629822102922162,False
132,True,H0,0.6614220160047374,True,0.6614220160047374,0.2579957516150313,False
133,False,H0,0.4160293679159263,False,0.4160293679159263,0.22455163976999326,False
134,False,H0,0.5244171557114621,False,0.5244171557114621,0.29999459491292246,True
135,False,419135002,0.5623233183267166,True,0.4376766816732835,0.5623233183267166,True
136,False,H0,0.5901601410973466,False,0.5901601410973466,0.3925451266829796,True
137,False,H0,0.452111463736678,False,0.452111463736678,0.3022123059385938,True
138,False,H0,0.49283716141611583,False,0.49283716141611583,0.1592697525092734,False
139,False,419139003,0.5801451693698341,True,0.41985483063016604,0.5801451693698341,True
140,False,H0,0.5579642841363944,False,0.5579642841363944,0.15276017102744102,True
141,True,H0,0.5378180860968738,True,0.5378180860968738,0.18553257916146726,False
142,True,H0,0.5827976920688256,True,0.5827976920688256,0.1943399238628462,False
143,False,H0,0.5416782691718932,False,0.5416782691718932,0.24316488931065472,True
144,False,H0,0.41296951973823176,False,0.41296951973823176,0.23919802700555573,False
145,False,H0,0.5371779666824613,False,0.5371779666824613,0.14692350589261266,True
146,False,H0,0.5719868598277131,False,0.5719868598277131,0.25818160679850366,True
147,True,H0,0.5650891583427197,True,0.5650891583427197,0.23905645154528507,False
